Age,Embarked,Fare,PassengerId,Pclass,Sex,Survived,Con_Cabina,TamanioFamilia,Titulo
1,0,0,1,3,1,0.0,0,2,1
2,1,3,2,1,0,1.0,1,2,3
1,0,1,3,3,0,1.0,0,1,2
2,0,3,4,1,0,1.0,1,2,3
2,0,1,5,3,1,0.0,0,1,1
2,2,1,6,3,1,0.0,0,1,1
3,0,3,7,1,1,0.0,1,1,1
0,0,2,8,3,1,0.0,0,5,4
1,0,1,9,3,0,1.0,0,3,3
0,1,2,10,2,0,1.0,0,2,3
0,0,2,11,3,0,1.0,1,3,2
3,0,2,12,1,0,1.0,1,1,2
1,0,1,13,3,1,0.0,0,1,1
2,0,3,14,3,1,0.0,0,7,1
0,0,0,15,3,0,0.0,0,1,2
3,0,2,16,2,0,1.0,0,1,3
0,2,2,17,3,1,0.0,0,6,4
2,0,1,18,2,1,1.0,0,1,1
1,0,2,19,3,0,0.0,0,2,3
2,1,0,20,3,0,1.0,0,1,3
2,0,2,21,2,1,0.0,0,1,1
2,0,1,22,2,1,1.0,1,1,1
0,2,1,23,3,0,1.0,0,1,2
1,0,3,24,1,1,1.0,1,1,1
0,0,2,25,3,0,0.0,0,5,2
2,0,3,26,3,0,1.0,0,7,3
1,1,0,27,3,1,0.0,0,1,1
1,0,3,28,1,1,0.0,1,6,1
1,2,0,29,3,0,1.0,0,1,2
1,0,0,30,3,1,0.0,0,1,1
2,1,2,31,1,1,0.0,0,1,5
2,1,3,32,1,0,1.0,1,2,3
0,2,0,33,3,0,1.0,0,1,2
4,0,1,34,2,1,0.0,0,1,1
1,1,3,35,1,1,0.0,0,2,1
2,0,3,36,1,1,0.0,0,2,1
1,1,0,37,3,1,1.0,0,1,1
1,0,1,38,3,1,0.0,0,1,1
1,0,2,39,3,0,0.0,0,3,2
0,1,1,40,3,0,1.0,0,2,2
2,0,1,41,3,0,0.0,0,2,3
1,0,2,42,2,0,0.0,0,2,3
2,1,0,43,3,1,0.0,0,1,1
0,1,3,44,2,0,1.0,0,4,2
1,2,0,45,3,0,1.0,0,1,2
1,0,1,46,3,1,0.0,0,1,1
1,2,2,47,3,1,0.0,0,2,1
1,2,0,48,3,0,1.0,0,1,2
1,1,2,49,3,1,0.0,0,3,1
1,0,2,50,3,0,0.0,0,2,3
0,0,3,51,3,1,0.0,0,6,4
1,0,0,52,3,1,0.0,0,1,1
3,1,3,53,1,0,1.0,1,2,3
1,0,2,54,2,0,1.0,0,2,3
4,1,3,55,1,1,0.0,1,2,1
1,0,3,56,1,1,1.0,1,1,1
1,0,1,57,2,0,1.0,0,1,2
1,1,0,58,3,1,0.0,0,1,1
0,0,2,59,2,0,1.0,0,4,2
0,0,3,60,3,1,0.0,0,8,4
1,1,0,61,3,1,0.0,0,1,1
2,0,3,62,1,0,1.0,1,1,2
2,0,3,63,1,1,0.0,1,2,1
0,0,2,64,3,1,0.0,0,6,4
1,1,2,65,1,1,0.0,0,1,1
1,1,2,66,3,1,1.0,0,3,4
1,0,1,67,2,0,1.0,1,1,3
1,0,1,68,3,1,0.0,0,1,1
1,0,1,69,3,0,1.0,0,7,2
1,0,1,70,3,1,0.0,0,3,1
1,0,1,71,2,1,0.0,0,1,1
0,0,3,72,3,0,0.0,0,8,2
1,0,3,73,2,1,0.0,0,1,1
1,1,2,74,3,1,0.0,0,2,1
1,0,3,75,3,1,1.0,0,1,1
1,0,0,76,3,1,0.0,1,1,1
1,0,0,77,3,1,0.0,0,1,1
1,0,1,78,3,1,0.0,0,1,1
0,0,2,79,2,1,1.0,0,3,4
1,0,1,80,3,0,1.0,0,1,2
1,0,1,81,3,1,0.0,0,1,1
1,0,1,82,3,1,1.0,0,1,1
2,2,0,83,3,0,1.0,0,1,2
1,0,3,84,1,1,0.0,0,1,1
1,0,1,85,2,0,1.0,0,1,2
2,0,2,86,3,0,1.0,0,4,3
0,0,3,87,3,1,0.0,0,5,1
1,0,1,88,3,1,0.0,0,1,1
1,0,3,89,1,0,1.0,1,6,2
1,0,1,90,3,1,0.0,0,1,1
1,0,1,91,3,1,0.0,0,1,1
1,0,0,92,3,1,0.0,0,1,1
2,0,3,93,1,1,0.0,1,2,1
1,0,2,94,3,1,0.0,0,4,1
3,0,0,95,3,1,0.0,0,1,1
1,0,1,96,3,1,0.0,0,1,1
4,1,3,97,1,1,0.0,1,1,1
1,1,3,98,1,1,1.0,1,2,1
2,0,2,99,2,0,1.0,0,2,3
2,0,2,100,2,1,0.0,0,2,1
1,0,0,101,3,0,0.0,0,1,2
2,0,0,102,3,1,0.0,0,1,1
1,0,3,103,1,1,0.0,1,2,1
2,0,1,104,3,1,0.0,0,1,1
2,0,1,105,3,1,0.0,0,3,1
1,0,0,106,3,1,0.0,0,1,1
1,0,0,107,3,0,1.0,0,1,2
1,0,0,108,3,1,1.0,0,1,1
2,0,0,109,3,1,0.0,0,1,1
0,2,2,110,3,0,1.0,0,2,2
2,0,3,111,1,1,0.0,1,1,1
0,1,2,112,3,0,0.0,0,2,2
1,0,1,113,3,1,0.0,0,1,1
1,0,1,114,3,0,0.0,0,2,2
1,1,2,115,3,0,0.0,0,1,2
1,0,1,116,3,1,0.0,0,1,1
4,2,0,117,3,1,0.0,0,1,1
1,0,2,118,2,1,0.0,0,2,1
1,1,3,119,1,1,0.0,1,2,1
0,0,3,120,3,0,0.0,0,7,2
1,0,3,121,2,1,0.0,0,3,1
1,0,1,122,3,1,0.0,0,1,1
1,1,2,123,2,1,0.0,0,2,1
1,0,1,124,2,0,1.0,1,1,2
3,0,3,125,1,1,0.0,1,2,1
0,1,1,126,3,1,1.0,0,2,4
2,2,0,127,3,1,0.0,0,1,1
1,0,0,128,3,1,1.0,0,1,1
0,1,2,129,3,0,1.0,1,3,2
2,0,0,130,3,1,0.0,0,1,1
2,1,0,131,3,1,0.0,0,1,1
1,0,0,132,3,1,0.0,0,1,1
2,0,2,133,3,0,0.0,0,2,3
1,0,2,134,2,0,1.0,0,2,3
1,0,1,135,2,1,0.0,0,1,1
1,1,2,136,2,1,0.0,0,1,1
1,0,2,137,1,0,1.0,1,3,2
2,0,3,138,1,1,0.0,1,2,1
0,0,1,139,3,1,0.0,0,1,1
1,1,3,140,1,1,0.0,1,1,1
1,1,2,141,3,0,0.0,0,3,3
1,0,0,142,3,0,1.0,0,1,2
1,0,2,143,3,0,1.0,0,2,3
1,2,0,144,3,1,0.0,0,1,1
1,0,1,145,2,1,0.0,0,1,1
1,0,3,146,2,1,0.0,0,3,1
1,0,0,147,3,1,1.0,0,1,1
0,0,3,148,3,0,0.0,0,5,2
2,0,2,149,2,1,0.0,1,3,1
2,0,1,150,2,1,0.0,0,1,5
3,0,1,151,2,1,0.0,0,1,5
1,0,3,152,1,0,1.0,1,2,3
3,0,1,153,3,1,0.0,0,1,1
2,0,2,154,3,1,0.0,0,3,1
2,0,0,155,3,1,0.0,0,1,1
3,1,3,156,1,1,0.0,0,2,1
0,2,0,157,3,0,1.0,0,1,2
1,0,1,158,3,1,0.0,0,1,1
2,0,1,159,3,1,0.0,0,1,1
2,0,3,160,3,1,0.0,0,11,4
2,0,2,161,3,1,0.0,0,2,1
2,0,2,162,2,0,1.0,0,1,3
1,0,0,163,3,1,0.0,0,1,1
1,0,1,164,3,1,0.0,0,1,1
0,0,3,165,3,1,0.0,0,6,4
0,0,2,166,3,1,1.0,0,3,4
1,0,3,167,1,0,1.0,1,2,3
2,0,2,168,3,0,0.0,0,6,3
1,0,2,169,1,1,0.0,0,1,1
1,0,3,170,3,1,0.0,0,1,1
3,0,3,171,1,1,0.0,1,1,1
0,2,2,172,3,1,0.0,0,6,4
0,0,1,173,3,0,1.0,0,3,2
1,0,1,174,3,1,0.0,0,1,1
3,1,2,175,1,1,0.0,1,1,1
1,0,0,176,3,1,0.0,0,3,1
0,0,2,177,3,1,0.0,0,5,4
3,1,2,178,1,0,0.0,1,1,2
1,0,1,179,2,1,0.0,0,1,1
2,0,0,180,3,1,0.0,0,1,1
2,0,3,181,3,0,0.0,0,11,2
2,1,2,182,2,1,0.0,0,1,1
0,0,3,183,3,1,0.0,0,7,4
0,0,3,184,2,1,1.0,1,4,4
0,0,2,185,3,0,1.0,0,3,2
2,0,3,186,1,1,0.0,1,1,1
2,2,2,187,3,0,1.0,0,2,3
2,0,2,188,1,1,1.0,0,1,1
2,2,2,189,3,1,0.0,0,3,1
2,0,0,190,3,1,0.0,0,1,1
1,0,1,191,2,0,1.0,0,1,3
1,0,1,192,2,1,0.0,0,1,1
1,0,0,193,3,0,1.0,0,2,2
0,0,2,194,2,1,1.0,1,3,4
2,1,2,195,1,0,1.0,1,1,3
3,1,3,196,1,0,1.0,1,1,2
0,2,0,197,3,1,0.0,0,1,1
2,0,1,198,3,1,0.0,0,2,1
1,2,0,199,3,0,1.0,0,1,2
1,0,1,200,2,0,0.0,0,1,2
1,0,1,201,3,1,0.0,0,1,1
2,0,3,202,3,1,0.0,0,11,1
2,0,0,203,3,1,0.0,0,1,1
2,1,0,204,3,1,0.0,0,1,1
1,0,1,205,3,1,1.0,0,1,1
0,0,1,206,3,0,0.0,1,2,2
1,0,2,207,3,1,0.0,0,2,1
1,1,2,208,3,1,1.0,0,1,1
0,2,0,209,3,0,1.0,0,1,2
2,1,2,210,1,1,1.0,1,1,1
1,0,0,211,3,1,0.0,0,1,1
2,0,2,212,2,0,1.0,0,1,2
1,0,0,213,3,1,0.0,0,1,1
1,0,1,214,2,1,0.0,0,1,1
2,2,0,215,3,1,0.0,0,2,1
1,1,3,216,1,0,1.0,1,2,2
1,0,1,217,3,0,1.0,0,1,2
2,0,2,218,2,1,0.0,0,2,1
1,1,3,219,1,0,1.0,1,1,2
1,0,1,220,2,1,0.0,0,1,1
0,0,1,221,3,1,1.0,0,1,1
1,0,1,222,2,1,0.0,0,1,1
3,0,1,223,3,1,0.0,0,1,1
1,0,0,224,3,1,0.0,0,1,1
2,0,3,225,1,1,1.0,1,2,1
1,0,1,226,3,1,0.0,0,1,1
1,0,1,227,2,1,1.0,0,1,1
1,0,0,228,3,1,0.0,0,1,1
1,0,1,229,2,1,0.0,0,1,1
1,0,2,230,3,0,0.0,0,5,2
2,0,3,231,1,0,1.0,1,2,3
1,0,0,232,3,1,0.0,0,1,1
3,0,1,233,2,1,0.0,0,1,1
0,0,3,234,3,0,1.0,0,7,2
1,0,1,235,2,1,0.0,0,1,1
0,0,0,236,3,0,0.0,0,1,2
2,0,2,237,2,1,0.0,0,2,1
0,0,2,238,2,0,1.0,0,3,2
1,0,1,239,2,1,0.0,0,1,1
2,0,1,240,2,1,0.0,0,1,1
0,1,2,241,3,0,0.0,0,2,2
1,2,2,242,3,0,1.0,0,2,2
1,0,1,243,2,1,0.0,0,1,1
1,0,0,244,3,1,0.0,0,1,1
1,1,0,245,3,1,0.0,0,1,1
2,2,3,246,1,1,0.0,1,3,5
1,0,0,247,3,0,0.0,0,1,2
1,0,2,248,2,0,1.0,0,3,3
2,0,3,249,1,1,1.0,1,3,1
3,0,2,250,2,1,0.0,0,2,5
2,0,0,251,3,1,0.0,0,1,1
1,0,1,252,3,0,0.0,1,3,3
3,0,2,253,1,1,0.0,1,1,1
1,0,2,254,3,1,0.0,0,2,1
2,0,2,255,3,0,0.0,0,3,3
1,1,2,256,3,0,1.0,0,3,3
2,1,3,257,1,0,1.0,0,1,3
1,0,3,258,1,0,1.0,1,1,2
2,1,3,259,1,0,1.0,0,1,2
3,0,2,260,2,0,1.0,0,2,3
2,2,0,261,3,1,0.0,0,1,1
0,0,3,262,3,1,1.0,0,7,4
3,0,3,263,1,1,0.0,1,3,1
2,0,0,264,1,1,0.0,1,1,1
1,2,0,265,3,0,0.0,0,1,2
2,0,1,266,2,1,0.0,0,1,1
0,0,3,267,3,1,0.0,0,6,1
1,0,0,268,3,1,1.0,0,2,1
3,0,3,269,1,0,1.0,1,2,3
2,0,3,270,1,0,1.0,1,1,2
2,0,2,271,1,1,0.0,0,1,1
1,0,0,272,3,1,1.0,0,1,1
2,0,2,273,2,0,1.0,0,2,3
2,1,2,274,1,1,0.0,1,2,1
2,2,0,275,3,0,1.0,0,1,2
3,0,3,276,1,0,1.0,1,2,2
2,0,0,277,3,0,0.0,0,1,2
1,0,0,278,2,1,0.0,0,1,1
0,2,2,279,3,1,0.0,0,6,4
2,0,2,280,3,0,1.0,0,3,3
4,2,0,281,3,1,0.0,0,1,1
1,0,0,282,3,1,0.0,0,1,1
0,0,1,283,3,1,0.0,0,1,1
1,0,1,284,3,1,1.0,0,1,1
2,0,2,285,1,1,0.0,1,1,1
2,1,1,286,3,1,0.0,0,1,1
1,0,1,287,3,1,1.0,0,1,1
1,0,0,288,3,1,0.0,0,1,1
2,0,1,289,2,1,1.0,0,1,1
1,2,0,290,3,0,1.0,0,1,2
1,0,3,291,1,0,1.0,0,1,2
1,1,3,292,1,0,1.0,1,2,3
2,1,1,293,2,1,0.0,1,1,1
1,0,1,294,3,0,0.0,0,1,2
1,0,0,295,3,1,0.0,0,1,1
2,1,2,296,1,1,0.0,0,1,1
1,1,0,297,3,1,0.0,0,1,1
0,0,3,298,1,0,0.0,1,4,2
1,0,2,299,1,1,1.0,1,1,1
3,1,3,300,1,0,1.0,1,2,3
1,2,0,301,3,0,1.0,0,1,2
2,2,2,302,3,1,1.0,0,3,1
1,0,0,303,3,1,0.0,0,1,1
1,2,1,304,2,0,1.0,1,1,2
2,0,1,305,3,1,0.0,0,1,1
0,0,3,306,1,1,1.0,1,4,4
1,1,3,307,1,0,1.0,0,1,2
1,1,3,308,1,0,1.0,1,2,3
1,1,2,309,2,1,0.0,0,2,1
1,1,3,310,1,0,1.0,1,1,2
1,1,3,311,1,0,1.0,1,1,2
1,1,3,312,1,0,1.0,1,5,2
1,0,2,313,2,0,0.0,0,3,3
1,0,0,314,3,1,0.0,0,1,1
2,0,2,315,2,1,0.0,0,3,1
1,0,0,316,3,0,1.0,0,1,2
1,0,2,317,2,0,1.0,0,2,3
3,0,1,318,2,1,0.0,0,1,5
1,0,3,319,1,0,1.0,1,3,2
2,1,3,320,1,0,1.0,1,3,3
1,0,0,321,3,1,0.0,0,1,1
1,0,0,322,3,1,0.0,0,1,1
1,2,1,323,2,0,1.0,0,1,2
1,0,2,324,2,0,1.0,0,3,3
1,0,3,325,3,1,0.0,0,11,1
2,1,3,326,1,0,1.0,1,1,2
3,0,0,327,3,1,0.0,0,1,1
2,0,1,328,2,0,1.0,1,1,3
1,0,2,329,3,0,1.0,0,3,3
0,1,3,330,1,0,1.0,1,2,2
1,2,2,331,3,0,1.0,0,3,2
2,0,2,332,1,1,0.0,1,1,1
2,0,3,333,1,1,0.0,1,2,1
0,0,2,334,3,1,0.0,0,3,1
1,0,3,335,1,0,1.0,0,2,3
2,0,0,336,3,1,0.0,0,1,1
1,0,3,337,1,1,0.0,1,2,1
2,1,3,338,1,0,1.0,1,1,2
2,0,1,339,3,1,1.0,0,1,1
2,0,3,340,1,1,0.0,1,1,1
0,0,2,341,2,1,1.0,1,3,4
1,0,3,342,1,0,1.0,1,6,2
1,0,1,343,2,1,0.0,0,1,1
1,0,1,344,2,1,0.0,0,1,1
2,0,1,345,2,1,0.0,0,1,1
1,0,1,346,2,0,1.0,1,1,2
2,0,1,347,2,0,1.0,0,1,2
1,0,2,348,3,0,1.0,0,2,3
0,0,2,349,3,1,1.0,0,3,4
2,0,1,350,3,1,0.0,0,1,1
1,0,1,351,3,1,0.0,0,1,1
1,0,3,352,1,1,0.0,1,1,1
0,1,0,353,3,1,0.0,0,3,1
1,0,2,354,3,1,0.0,0,2,1
1,1,0,355,3,1,0.0,0,1,1
1,0,1,356,3,1,0.0,0,1,1
1,0,3,357,1,0,1.0,1,2,2
2,0,1,358,2,0,0.0,0,1,2
2,2,0,359,3,0,1.0,0,1,2
2,2,0,360,3,0,1.0,0,1,2
2,0,2,361,3,1,0.0,0,6,1
1,1,2,362,2,1,0.0,0,2,1
2,1,2,363,3,0,0.0,0,2,3
2,0,0,364,3,1,0.0,0,1,1
2,2,2,365,3,1,0.0,0,2,1
1,0,0,366,3,1,0.0,0,1,1
3,1,3,367,1,0,1.0,1,2,3
1,1,0,368,3,0,1.0,0,1,3
2,2,0,369,3,0,1.0,0,1,2
1,1,3,370,1,0,1.0,1,1,3
1,1,3,371,1,1,1.0,1,2,1
1,0,0,372,3,1,0.0,0,2,1
1,0,1,373,3,1,0.0,0,1,1
1,1,3,374,1,1,0.0,0,1,1
0,0,2,375,3,0,0.0,0,5,2
1,1,3,376,1,0,1.0,0,2,3
1,0,0,377,3,0,1.0,0,1,2
1,1,3,378,1,1,0.0,1,3,1
1,1,0,379,3,1,0.0,0,1,1
1,0,0,380,3,1,0.0,0,1,1
2,1,3,381,1,0,1.0,0,1,2
0,1,2,382,3,0,1.0,0,3,2
1,0,1,383,3,1,0.0,0,1,1
2,0,3,384,1,0,1.0,0,2,3
2,0,0,385,3,1,0.0,0,1,1
1,0,3,386,2,1,0.0,0,1,1
0,0,3,387,3,1,0.0,0,8,4
2,0,1,388,2,0,1.0,0,1,2
1,2,0,389,3,1,0.0,0,1,1
1,1,1,390,2,0,1.0,0,1,2
2,0,3,391,1,1,1.0,1,4,1
1,0,0,392,3,1,1.0,0,1,1
1,0,1,393,3,1,0.0,0,3,1
1,1,3,394,1,0,1.0,1,2,2
1,0,2,395,3,0,1.0,1,3,3
1,0,0,396,3,1,0.0,0,1,1
1,0,0,397,3,0,0.0,0,1,2
2,0,2,398,2,1,0.0,0,1,1
1,0,1,399,2,1,0.0,0,1,5
1,0,1,400,2,0,1.0,0,1,3
2,0,1,401,3,1,1.0,0,1,1
1,0,1,402,3,1,0.0,0,1,1
1,0,1,403,3,0,0.0,0,2,2
1,0,2,404,3,1,0.0,0,2,1
1,0,1,405,3,0,0.0,0,1,2
2,0,2,406,2,1,0.0,0,2,1
3,0,0,407,3,1,0.0,0,1,1
0,0,2,408,2,1,1.0,0,3,4
1,0,0,409,3,1,0.0,0,1,1
1,0,2,410,3,0,0.0,0,5,2
1,0,0,411,3,1,0.0,0,1,1
2,2,0,412,3,1,0.0,0,1,1
2,2,3,413,1,0,1.0,1,2,2
2,0,0,414,2,1,0.0,0,1,1
2,0,1,415,3,1,1.0,0,1,1
2,0,1,416,3,0,0.0,0,1,3
2,0,3,417,2,0,1.0,0,3,3
1,0,1,418,2,0,1.0,0,3,2
1,0,1,419,2,1,0.0,0,1,1
0,0,2,420,3,0,0.0,0,3,2
2,1,0,421,3,1,0.0,0,1,1
1,2,0,422,3,1,0.0,0,1,1
1,0,0,423,3,1,0.0,0,1,1
1,0,1,424,3,0,0.0,0,3,3
1,0,2,425,3,1,0.0,0,3,1
2,0,0,426,3,1,0.0,0,1,1
1,0,2,427,2,0,1.0,0,2,3
1,0,2,428,2,0,1.0,0,1,2
1,2,0,429,3,1,0.0,0,1,1
1,0,1,430,3,1,1.0,1,1,1
1,0,2,431,1,1,1.0,1,1,1
2,0,2,432,3,0,1.0,0,2,3
2,0,2,433,2,0,1.0,0,2,3
1,0,0,434,3,1,0.0,0,1,1
3,0,3,435,1,1,0.0,1,2,1
0,0,3,436,1,0,1.0,1,4,2
1,0,3,437,3,0,0.0,0,5,2
1,0,2,438,2,0,1.0,0,6,3
3,0,3,439,1,1,0.0,1,6,1
1,0,1,440,2,1,0.0,0,1,1
2,0,2,441,2,0,1.0,0,3,3
1,0,1,442,3,1,0.0,0,1,1
1,0,0,443,3,1,0.0,0,2,1
1,0,1,444,2,0,1.0,0,1,2
1,0,1,445,3,1,1.0,0,1,1
0,0,3,446,1,1,1.0,1,3,4
